City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Atasu,KZ,2022-03-02 04:04:42,48.6814,71.6433,14.7,88,59,4.25
250,Mezen,RU,2022-03-02 04:04:43,65.8522,44.24,33.44,86,100,15.55
251,Princeton,US,2022-03-02 04:04:43,25.5384,-80.4089,71.98,81,20,6.91
252,Torbay,CA,2022-03-02 04:04:43,47.6666,-52.7314,15.76,76,81,1.99
253,Shenjiamen,CN,2022-03-02 04:04:44,29.9576,122.298,47.37,71,58,5.82
254,Kenai,US,2022-03-02 04:04:44,60.5544,-151.2583,32.09,83,100,5.75
255,Maningrida,AU,2022-03-02 04:04:45,-12.0667,134.2667,92.44,55,7,8.5
256,San Pedro,PH,2022-03-02 04:04:45,14.35,121.0167,88.32,64,48,13.6
257,Saint Anthony,US,2022-03-02 04:04:35,45.0205,-93.218,33.42,75,20,3.44
258,Naryan-Mar,RU,2022-03-02 04:04:46,67.6713,53.087,21.65,95,100,13.89
259,Samarai,PG,2022-03-02 04:04:46,-10.6167,150.6667,83.23,72,73,1.95
260,Lufilufi,WS,2022-03-02 04:04:47,-13.8745,-171.5986,86.79,78,87,10.2
261,Dickinson,US,2022-03-02 04:04:47,29.4608,-95.0513,58.15,73,0,5.75
262,Coruripe,BR,2022-03-02 04:04:47,-10.1256,-36.1756,78.22,73,70,8.9
263,Port Lincoln,AU,2022-03-02 04:00:11,-34.7333,135.8667,71.76,66,4,9.17
264,Tessalit,ML,2022-03-02 04:02:14,20.1986,1.0114,75.43,29,30,3.36
265,Bissau,GW,2022-03-02 04:04:48,11.8636,-15.5977,73.85,37,4,8.99
266,Leh,IN,2022-03-02 04:04:49,34.1667,77.5833,13.68,82,86,2.46
267,Klaksvik,FO,2022-03-02 04:04:49,62.2266,-6.589,43.72,84,100,9.19
268,Helmond,NL,2022-03-02 04:04:50,51.4817,5.6611,42.04,72,100,5.75
269,Yamada,JP,2022-03-02 04:04:50,39.4667,141.95,42.15,51,70,4.16
270,Akyab,MM,2022-03-02 04:04:51,20.15,92.9,81.84,33,16,7.14
271,Moyale,KE,2022-03-02 04:04:52,3.5167,39.0584,71.04,30,3,15.95
272,Takapau,NZ,2022-03-02 04:04:52,-40.0333,176.35,64.18,70,87,7.18
273,Alice Springs,AU,2022-03-02 04:03:10,-23.7,133.8833,98.15,43,7,8.05
274,Lexington,US,2022-03-02 04:04:52,37.9887,-84.4777,51.69,54,100,5.75
275,Hare Bay,CA,2022-03-02 04:04:53,48.8499,-54.0148,11.19,74,9,9.84
276,Koslan,RU,2022-03-02 04:04:54,63.4564,48.8989,22.05,94,96,9.64
277,Palamos,ES,2022-03-02 04:04:54,41.8484,3.1291,53.11,91,97,5.88
278,Alcantara,BR,2022-03-02 04:04:55,-2.4089,-44.4147,79.0,83,96,7.52
